Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^4,-1.07178E-6,4.77915E-7,6.61596E-6,1.25841E-5,0.00206
10^4,-1.05758E-6,4.95396E-7,6.76454E-6,1.32916E-5,0.00212
10^4,-1.05689E-6,5.09986E-7,6.93125E-6,1.40475E-5,0.00217
10^4,-1.05689E-6,5.27605E-7,7.10007E-6,1.48508E-5,0.00222
10^4,-1.04943E-6,5.44064E-7,7.27527E-6,1.57156E-5,0.00224
10^4,-1.04943E-6,5.61064E-7,7.4565E-6,1.66524E-5,0.00227
10^4,-1.04694E-6,5.77825E-7,7.63244E-6,1.76576E-5,0.0023
10^4,-1.04694E-6,6.05243E-7,7.82338E-6,1.87599E-5,0.00233
10^4,-1.04039E-6,6.09688E-7,8.00673E-6,1.99444E-5,0.00234
10^4,-1.04039E-6,6.22721E-7,8.18968E-6,2.12326E-5,0.00235
10^4,-1.04039E-6,6.40165E-7,8.39272E-6,2.26261E-5,0.00237
10^4,-1.03929E-6,6.57372E-7,8.62601E-6,2.41225E-5,0.00236
10^4,-1.03929E-6,6.73607E-7,8.80994E-6,2.57257E-5,0.00238
10^4,-1.0327E-6,6.89552E-7,9.05174E-6,2.74255E-5,0.0024
10^4,-1.0327E-6,7.07098E-7,9.26751E-6,2.92403E-5,0.00243
10^4,-1.0327E-6,7.23349E-7,9.50192E-6,3.11605E-5,0.00245
10^4,-1.0327E-6,7.46581E-7,9.72654E-6,3.31848E-5,0.00249
10^4,-1.03092E-6,7.69898E-7,9.95442E-6,3.53303E-5,0.0025
10^4,-1.02034E-6,7.90452E-7,1.0164E-5,3.7581E-5,0.00252
10^4,-1.02028E-6,8.16329E-7,1.02658E-5,3.99614E-5,0.00254
10^4,-1.02028E-6,8.36125E-7,1.07233E-5,4.24795E-5,0.00256
10^4,-1.02028E-6,8.61173E-7,1.09826E-5,4.51772E-5,0.00259
10^4,-1.02028E-6,8.93007E-7,1.12588E-5,4.79192E-5,0.00262
10^4,-1.02028E-6,9.20472E-7,1.14671E-5,5.08484E-5,0.00267
10^4,-1.01167E-6,9.523E-7,1.14671E-5,5.39476E-5,0.0027
10^4,-1.01167E-6,9.63648E-7,1.14671E-5,5.72446E-5,0.00274
10^4,-1.00394E-6,9.73396E-7,1.14671E-5,6.07191E-5,0.00277
10^4,-9.78458E-7,9.83785E-7,1.14671E-5,6.4395E-5,0.0028
10^4,-9.78458E-7,9.83785E-7,1.14671E-5,6.82761E-5,0.00283
10^4,-9.78458E-7,9.83785E-7,1.11249E-5,7.23073E-5,0.00287
10^4,-9.78458E-7,9.83785E-7,1.08056E-5,6.85965E-5,0.00289
10^4,-9.78458E-7,9.83785E-7,1.05074E-5,6.47973E-5,0.00274
10^4,-9.78458E-7,9.83785E-7,1.04751E-5,6.11548E-5,0.00263
10^4,-9.78458E-7,9.75932E-7,1.0272E-5,5.7721E-5,0.00255
10^4,-9.78458E-7,8.01434E-7,9.64289E-6,5.42316E-5,0.00251
10^4,-9.78458E-7,7.87419E-7,9.3703E-6,5.12547E-5,0.00246
10^4,-9.78458E-7,7.74608E-7,9.0966E-6,4.84456E-5,0.00241
10^4,-9.78458E-7,7.49921E-7,8.83137E-6,4.57584E-5,0.00236
10^4,-9.83264E-7,7.015E-7,8.58422E-6,4.31589E-5,0.00232
