Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^8,1.53026E-6,2.57424E-6,2.71235E-5,2.01694E-4,0.00582
10^8,1.53026E-6,2.57424E-6,2.75998E-5,2.0975E-4,0.00587
10^8,1.53026E-6,2.57424E-6,2.57478E-5,2.01647E-4,0.00589
10^8,1.53026E-6,2.57424E-6,2.40873E-5,1.93818E-4,0.00596
10^8,1.52632E-6,2.52053E-6,2.24524E-5,1.86401E-4,0.00579
10^8,1.51724E-6,2.48288E-6,2.1112E-5,1.7928E-4,0.00567
10^8,1.50058E-6,2.4546E-6,1.9889E-5,1.72319E-4,0.00554
10^8,1.48757E-6,2.41147E-6,1.87542E-5,1.65514E-4,0.00545
10^8,1.48165E-6,2.38535E-6,1.77327E-5,1.58843E-4,0.00534
10^8,1.46676E-6,2.35155E-6,1.67766E-5,1.52341E-4,0.00523
10^8,1.45887E-6,2.33463E-6,1.59043E-5,1.45847E-4,0.00513
10^8,1.44696E-6,2.30085E-6,1.50934E-5,1.39555E-4,0.00504
10^8,1.43765E-6,2.28073E-6,1.43376E-5,1.33358E-4,0.00497
10^8,1.43066E-6,2.25548E-6,1.36393E-5,1.27324E-4,0.00487
10^8,1.41607E-6,2.22679E-6,1.30109E-5,1.21377E-4,0.00478
10^8,1.40896E-6,2.21606E-6,1.2407E-5,1.15599E-4,0.00469
10^8,1.40386E-6,2.18674E-6,1.18605E-5,1.0992E-4,0.00461
10^8,1.38854E-6,2.16016E-6,1.1351E-5,1.04334E-4,0.00453
10^8,1.37787E-6,2.1393E-6,1.08644E-5,9.99408E-5,0.00445
10^8,1.37579E-6,2.12032E-6,1.04253E-5,9.36626E-5,0.00436
10^8,1.36943E-6,2.10382E-6,1.00005E-5,8.85361E-5,0.00428
10^8,1.35268E-6,2.08087E-6,9.19058E-6,8.3637E-5,0.00421
10^8,1.3393E-6,2.06076E-6,9.28509E-6,7.88544E-5,0.00413
10^8,1.33923E-6,2.04163E-6,8.93268E-6,7.42422E-5,0.00404
10^8,1.3307E-6,2.03733E-6,8.63104E-6,6.98313E-5,0.00396
10^8,1.32791E-6,2.00114E-6,8.32129E-6,6.55387E-5,0.00389
10^8,1.31853E-6,1.98538E-6,8.04508E-6,6.1493E-5,0.0038
10^8,1.2998E-6,1.96548E-6,7.78803E-6,5.755E-5,0.00372
10^8,1.29374E-6,1.94649E-6,7.54319E-6,5.38313E-5,0.00364
10^8,1.2892E-6,1.92825E-6,7.30748E-6,5.02533E-5,0.00356
10^8,1.28219E-6,1.9017E-6,7.08246E-6,4.68555E-5,0.00348
10^8,1.27234E-6,1.88922E-6,6.87364E-6,4.36773E-5,0.0034
10^8,1.26286E-6,1.877E-6,6.68169E-6,4.05544E-5,0.00332
10^8,1.2598E-6,1.85699E-6,6.47057E-6,3.77836E-5,0.00328
10^8,1.24869E-6,1.83397E-6,6.31132E-6,3.51281E-5,0.0032
10^8,1.23963E-6,1.81052E-6,6.11643E-6,3.26272E-5,0.00312
10^8,1.23689E-6,1.79042E-6,5.97966E-6,3.03657E-5,0.00304
10^8,1.22505E-6,1.78393E-6,5.80524E-6,2.82497E-5,0.00297
10^8,1.22073E-6,1.76087E-6,5.63604E-6,2.63159E-5,0.00293
10^8,1.20632E-6,1.74156E-6,5.46832E-6,2.45232E-5,0.00284
10^8,1.19916E-6,1.72275E-6,5.3091E-6,2.28661E-5,0.00276
10^8,1.19027E-6,1.70972E-6,5.12787E-6,2.13151E-5,0.00269
10^8,1.18251E-6,1.69053E-6,4.95915E-6,1.9912E-5,0.00261
10^8,1.17259E-6,1.67694E-6,4.78267E-6,1.85883E-5,0.00257
10^8,1.17038E-6,1.65914E-6,4.61028E-6,1.73917E-5,0.0025
10^8,1.1603E-6,1.63763E-6,4.42029E-6,1.62983E-5,0.00242
10^8,1.15674E-6,1.61488E-6,4.24221E-6,1.52347E-5,0.00235
10^8,1.14881E-6,1.59369E-6,4.04727E-6,1.42638E-5,0.00227
10^8,1.14323E-6,1.5872E-6,3.85816E-6,1.33544E-5,0.0022
10^8,1.13764E-6,1.55902E-6,3.65545E-6,1.2495E-5,0.00213
10^8,1.12322E-6,1.54575E-6,3.46659E-6,1.19712E-5,0.00205
10^8,1.11613E-6,1.53187E-6,3.27826E-6,1.12547E-5,0.00198
10^8,1.10697E-6,1.50665E-6,3.0879E-6,1.08058E-5,0.00191
10^8,1.10237E-6,1.48979E-6,2.90252E-6,1.0642E-5,0.00183
10^8,1.09231E-6,1.47452E-6,2.72921E-6,1.0904E-5,0.00176
10^8,1.0912E-6,1.45638E-6,2.56119E-6,1.17304E-5,0.00169
10^8,1.07574E-6,1.43811E-6,2.3973E-6,1.29924E-5,0.00161
10^8,1.06987E-6,1.41575E-6,2.28982E-6,1.46904E-5,0.00153
10^8,1.06419E-6,1.4051E-6,2.09503E-6,1.63386E-5,0.00147
10^8,1.05524E-6,1.37918E-6,1.96868E-6,1.6538E-5,0.0014
10^8,1.0478E-6,1.37782E-6,1.81722E-6,1.53432E-5,0.00133
10^8,1.04454E-6,1.33633E-6,1.67818E-6,1.38945E-5,0.00126
10^8,1.03405E-6,1.3238E-6,1.54991E-6,1.24791E-5,0.00119
10^8,1.0333E-6,1.30093E-6,1.50029E-6,1.11886E-5,0.00113
10^8,1.0333E-6,1.28113E-6,1.3456E-6,9.09533E-6,0.00107
10^8,1.0167E-6,1.2589E-6,1.22705E-6,9.35415E-6,0.00101
10^8,1.013E-6,1.2456E-6,1.1116E-6,8.67718E-6,9.54871E-4
10^8,1.00538E-6,1.22432E-6,1.01949E-6,8.40825E-6,8.89279E-4
10^8,9.99891E-7,1.20998E-6,2.42045E-7,8.52788E-6,8.27795E-4
10^8,9.96283E-7,1.18159E-6,7.42195E-7,7.83913E-6,7.68923E-4
10^8,9.72822E-7,1.17233E-6,3.75844E-7,6.83729E-6,7.12565E-4
10^8,9.60861E-7,1.14886E-6,2.49299E-7,5.85346E-6,6.55765E-4
10^8,9.53072E-7,1.13953E-6,1.58589E-7,4.83619E-6,6.02367E-4
10^8,9.53072E-7,1.13373E-6,1.3393E-8,3.88821E-6,5.51897E-4
10^8,9.4878E-7,1.09439E-6,-2.63815E-7,2.90581E-6,5.03813E-4
10^8,9.39932E-7,1.07376E-6,3.51157E-9,1.978E-6,4.58011E-4
10^8,9.39932E-7,1.05055E-6,1.03175E-8,1.07566E-6,4.16195E-4
10^8,9.34464E-7,1.02372E-6,5.97062E-9,1.2293E-7,3.77597E-4
10^8,9.25976E-7,1.00411E-6,-4.61168E-9,-8.88637E-7,3.42802E-4
10^8,9.1808E-7,9.96715E-7,3.11665E-8,9.67457E-8,3.09609E-4
10^8,9.02758E-7,9.96715E-7,-9.88231E-8,-1.45043E-6,2.7814E-4
10^8,8.92256E-7,9.55775E-7,-1.03687E-7,-2.86227E-6,2.4811E-4
10^8,8.8827E-7,9.39031E-7,1.2787E-6,-4.31704E-6,2.19041E-4
10^8,8.79749E-7,9.39031E-7,1.34243E-9,-5.89263E-6,1.9093E-4
10^8,8.74141E-7,9.31697E-7,-1.12115E-8,-7.61353E-6,1.64084E-4
10^8,8.65679E-7,9.31697E-7,-7.21972E-8,-9.0441E-6,1.40385E-4
10^8,8.58634E-7,9.07544E-7,-4.58307E-7,-9.07073E-6,1.17921E-4
10^8,8.51187E-7,8.73045E-7,-6.97127E-7,-1.12442E-5,9.87468E-5
10^8,8.45858E-7,8.11652E-7,-8.56566E-7,-1.32562E-5,7.52085E-5
10^8,8.38318E-7,7.98571E-7,-9.53645E-7,-1.50671E-5,4.4429E-5
10^8,8.3159E-7,6.62366E-7,-9.96705E-7,-1.64922E-5,4.37604E-6
10^8,8.27933E-7,6.46206E-7,-1.03261E-6,-1.77664E-5,-3.03232E-5
10^8,8.14748E-7,6.46206E-7,-2.36989E-6,-1.88067E-5,-6.89187E-5
10^8,8.14194E-7,6.367E-7,-1.08406E-6,-1.96763E-5,-9.55756E-5
10^8,8.11748E-7,6.29393E-7,-1.18644E-6,-2.02393E-5,-1.07148E-4
10^8,8.05997E-7,6.29393E-7,-1.30844E-6,-2.06158E-5,-1.35773E-4
10^8,7.97221E-7,6.23832E-7,-1.43335E-6,-2.07791E-5,-1.66549E-4
10^8,7.91316E-7,5.85825E-7,-1.56591E-6,-2.09005E-5,-1.98894E-4
10^8,7.8083E-7,5.6395E-7,-1.70285E-6,-2.14007E-5,-2.32666E-4
10^8,7.69561E-7,5.3888E-7,-1.72399E-6,-2.25268E-5,-2.70803E-4
10^8,7.63987E-7,5.14058E-7,-1.94218E-6,-2.41841E-5,-3.06526E-4
10^8,7.60083E-7,4.84011E-7,-2.1266E-6,-2.628E-5,-3.43506E-4
10^8,7.52146E-7,4.25938E-7,-2.31927E-6,-2.86256E-5,-3.76151E-4
10^8,7.50182E-7,4.21472E-7,-2.52209E-6,-3.14169E-5,-4.03581E-4
10^8,7.44634E-7,3.96654E-7,-2.72759E-6,-3.42504E-5,-4.28287E-4
10^8,7.21725E-7,3.70565E-7,-2.95122E-6,-3.71804E-5,-4.63195E-4
10^8,7.21605E-7,3.48157E-7,-3.19193E-6,-4.00936E-5,-5.07033E-4
10^8,7.14856E-7,3.16328E-7,-3.44195E-6,-4.29268E-5,-5.45811E-4
10^8,7.08846E-7,2.96255E-7,-3.71577E-6,-4.5676E-5,-5.83244E-4
10^8,7.08254E-7,2.71254E-7,-3.99665E-6,-4.8299E-5,-6.22395E-4
10^8,6.92091E-7,2.46294E-7,-4.28423E-6,-5.07212E-5,-6.59935E-4
10^8,6.92021E-7,2.40168E-7,-4.42274E-6,-5.29503E-5,-7.01382E-4
10^8,6.85597E-7,2.25595E-7,-4.84598E-6,-5.4993E-5,-7.42905E-4
10^8,6.84237E-7,2.25595E-7,-5.2385E-6,-5.68422E-5,-7.86733E-4
10^8,6.76127E-7,1.58742E-7,-5.64638E-6,-5.76816E-5,-8.31309E-4
10^8,6.70257E-7,1.58742E-7,-6.09331E-6,-5.91382E-5,-8.75525E-4
10^8,6.55886E-7,1.58742E-7,-6.56809E-6,-6.04081E-5,-9.10286E-4
10^8,6.47747E-7,1.56283E-7,-7.09173E-6,-6.1532E-5,-9.52507E-4
10^8,6.47179E-7,1.32204E-7,-7.68255E-6,-6.24189E-5,-9.98799E-4
10^8,6.3676E-7,1.11053E-7,-8.33642E-6,-6.31918E-5,-0.00104
10^8,6.30667E-7,1.07696E-7,-9.05525E-6,-6.28567E-5,-0.00106
10^8,6.22979E-7,3.26524E-9,-9.78315E-6,-6.35444E-5,-0.00109
10^8,6.17288E-7,2.15852E-9,-1.02821E-5,-6.42455E-5,-0.0011
10^8,6.11859E-7,1.69903E-9,-1.17669E-5,-6.48351E-5,-0.00111
10^8,6.0475E-7,-4.7779E-9,-1.23905E-5,-6.55804E-5,-0.00112
10^8,5.99129E-7,1.69903E-9,-1.32437E-5,-6.58657E-5,-0.00113
10^8,5.92436E-7,-4.7779E-9,-1.39065E-5,-6.70679E-5,-0.00113
10^8,5.85315E-7,-6.38721E-9,-1.43186E-5,-6.83513E-5,-0.00111
10^8,5.81056E-7,-6.38721E-9,-1.44295E-5,-6.93389E-5,-0.00111
10^8,5.69484E-7,-9.87597E-8,-1.48048E-5,-6.9759E-5,-0.00111
10^8,5.64058E-7,-9.95914E-8,-1.52439E-5,-6.96624E-5,-0.0011
10^8,5.6069E-7,-1.81445E-7,-1.56852E-5,-6.92462E-5,-0.00108
10^8,5.54076E-7,-2.00423E-7,-1.61041E-5,-6.82635E-5,-0.00111
10^8,5.45641E-7,-2.75706E-7,-1.62673E-5,-6.78782E-5,-0.00114
10^8,5.39551E-7,-2.80516E-7,-1.65701E-5,-6.75101E-5,-0.00116
10^8,5.32918E-7,-3.01218E-7,-1.67744E-5,-6.71226E-5,-0.00119
10^8,5.2844E-7,-3.29161E-7,-1.69062E-5,-6.67412E-5,-0.00122
10^8,5.22406E-7,-3.29161E-7,-1.69594E-5,-6.65042E-5,-0.00127
10^8,5.14295E-7,-3.44783E-7,-1.69372E-5,-6.50009E-5,-0.0013
10^8,5.08318E-7,-3.67607E-7,-1.69018E-5,-6.51311E-5,-0.00136
10^8,5.00349E-7,-3.89394E-7,-1.68106E-5,-6.53917E-5,-0.00144
10^8,4.94055E-7,-4.12651E-7,-1.67309E-5,-6.57459E-5,-0.0015
10^8,4.87129E-7,-4.31919E-7,-1.66458E-5,-6.61424E-5,-0.00157
10^8,4.82577E-7,-4.47455E-7,-1.65751E-5,-6.66051E-5,-0.00164
10^8,4.75517E-7,-4.72025E-7,-1.64792E-5,-6.7099E-5,-0.00171
10^8,4.68895E-7,-4.90558E-7,-1.64049E-5,-6.76233E-5,-0.0018
10^8,4.62959E-7,-5.01728E-7,-1.60198E-5,-6.81753E-5,-0.00189
10^8,4.56389E-7,-5.10681E-7,-1.60367E-5,-6.87634E-5,-0.00198
10^8,4.55278E-7,-5.56163E-7,-1.605E-5,-6.93446E-5,-0.00208
10^8,4.51079E-7,-5.81407E-7,-1.60611E-5,-6.92473E-5,-0.00218
10^8,4.44652E-7,-5.92175E-7,-1.61009E-5,-6.90896E-5,-0.00229
10^8,4.37549E-7,-6.14686E-7,-1.61285E-5,-6.98136E-5,-0.0024
10^8,4.22416E-7,-6.39662E-7,-1.6172E-5,-7.05094E-5,-0.0025
10^8,4.18398E-7,-6.59794E-7,-1.62363E-5,-7.12215E-5,-0.00262
10^8,4.12625E-7,-6.83062E-7,-1.62618E-5,-7.19921E-5,-0.00273
10^8,4.06334E-7,-7.04373E-7,-1.63209E-5,-7.27481E-5,-0.00285
10^8,4.02998E-7,-7.21601E-7,-1.63163E-5,-7.24148E-5,-0.00297
10^8,3.95884E-7,-7.37565E-7,-1.63785E-5,-7.32806E-5,-0.00309
10^8,3.87678E-7,-7.56984E-7,-1.64321E-5,-7.41925E-5,-0.00322
10^8,3.82552E-7,-7.64889E-7,-1.65045E-5,-7.51346E-5,-0.00334
10^8,3.76172E-7,-7.75943E-7,-1.65726E-5,-7.61326E-5,-0.00347
10^8,3.71465E-7,-8.05635E-7,-1.66602E-5,-7.7169E-5,-0.00359
10^8,3.6384E-7,-8.14672E-7,-1.67552E-5,-7.82383E-5,-0.00372
10^8,3.5901E-7,-8.66223E-7,-1.68373E-5,-7.93199E-5,-0.00385
10^8,3.57931E-7,-8.66223E-7,-1.69388E-5,-8.04356E-5,-0.00397
10^8,3.42131E-7,-8.66719E-7,-1.68578E-5,-8.15947E-5,-0.0041
10^8,3.40706E-7,-9.16323E-7,-1.69758E-5,-8.27309E-5,-0.00424
10^8,3.36936E-7,-9.30114E-7,-1.71157E-5,-8.39301E-5,-0.00438
10^8,3.26921E-7,-9.50644E-7,-1.72417E-5,-8.5113E-5,-0.00453
10^8,3.24276E-7,-1.00089E-6,-1.73804E-5,-8.63559E-5,-0.00468
10^8,3.15007E-7,-1.01371E-6,-1.75233E-5,-8.75722E-5,-0.00484
10^8,3.09703E-7,-1.01972E-6,-1.76706E-5,-8.88301E-5,-0.00501
10^8,3.04466E-7,-1.02647E-6,-1.78183E-5,-9.01155E-5,-0.00517
10^8,2.96652E-7,-1.03595E-6,-1.79547E-5,-9.14044E-5,-0.00533
10^8,2.92798E-7,-1.03595E-6,-1.8121E-5,-9.27221E-5,-0.00548
10^8,2.87825E-7,-1.05813E-6,-1.82849E-5,-9.28759E-5,-0.00564
10^8,2.79128E-7,-1.07298E-6,-1.8446E-5,-9.43621E-5,-0.0058
10^8,2.79128E-7,-1.08224E-6,-1.86359E-5,-9.61529E-5,-0.00595
10^8,2.75921E-7,-1.08224E-6,-1.88028E-5,-9.56672E-5,-0.00611
10^8,2.68139E-7,-1.11057E-6,-1.89787E-5,-9.86648E-5,-0.00626
10^8,2.61641E-7,-1.12575E-6,-1.91665E-5,-9.92698E-5,-0.00642
10^8,2.5568E-7,-1.14089E-6,-1.93388E-5,-1.01873E-4,-0.00659
10^8,2.49698E-7,-1.16264E-6,-1.95386E-5,-1.06413E-4,-0.00675
10^8,2.33236E-7,-1.18014E-6,-1.97269E-5,-1.1166E-4,-0.00694
10^8,2.31567E-7,-1.20042E-6,-1.99206E-5,-1.17691E-4,-0.00711
10^8,2.29906E-7,-1.21183E-6,-2.01258E-5,-1.2448E-4,-0.00729
10^8,2.20396E-7,-1.23529E-6,-2.03237E-5,-1.3187E-4,-0.00745
10^8,2.16034E-7,-1.24873E-6,-2.05351E-5,-1.39857E-4,-0.00762
10^8,2.08224E-7,-1.27338E-6,-2.07462E-5,-1.48331E-4,-0.00783
10^8,2.0234E-7,-1.28559E-6,-2.09449E-5,-1.57171E-4,-0.00804
10^8,1.9792E-7,-1.29968E-6,-2.11835E-5,-1.66388E-4,-0.00825
10^8,1.91608E-7,-1.32048E-6,-2.14013E-5,-1.75844E-4,-0.00844
10^8,1.85546E-7,-1.33934E-6,-2.16247E-5,-1.85694E-4,-0.00863
10^8,1.84804E-7,-1.35662E-6,-2.18519E-5,-1.95387E-4,-0.0088
10^8,1.70632E-7,-1.36465E-6,-2.20783E-5,-2.05187E-4,-0.009
10^8,1.69185E-7,-1.37863E-6,-2.23164E-5,-2.14673E-4,-0.00922
10^8,1.62226E-7,-1.38813E-6,-2.25477E-5,-2.24E-4,-0.00947
10^8,1.5649E-7,-1.41887E-6,-2.27899E-5,-2.329E-4,-0.0097
10^8,1.49945E-7,-1.43882E-6,-2.30295E-5,-2.41244E-4,-0.00994
10^8,1.44759E-7,-1.45574E-6,-2.32691E-5,-2.48734E-4,-0.01
10^8,1.34944E-7,-1.47131E-6,-2.35336E-5,-2.55081E-4,-0.01
10^8,1.3366E-7,-1.4834E-6,-2.34338E-5,-2.59971E-4,-0.01
control,1.00726E-6,-2.29972E-6,-7.07505E-5,-2.16545E-4,-0.01
control,1.00788E-6,-2.17261E-6,-3.35232E-5,-1.17342E-4,-0.01
control,1.03965E-6,-2.06372E-6,-2.54518E-5,-8.63998E-5,-0.01
control,1.04183E-6,-1.97918E-6,-2.17844E-5,-7.64298E-5,-0.01
control,1.04183E-6,-1.90097E-6,-1.95145E-5,-6.97587E-5,-0.01
control,1.04433E-6,-1.83684E-6,-1.78792E-5,-6.44976E-5,-0.01
control,1.05062E-6,-1.78251E-6,-1.66038E-5,-6.00111E-5,-0.01
control,1.05681E-6,-1.72101E-6,-1.55534E-5,-5.60797E-5,-0.01
control,1.0571E-6,-1.66675E-6,-1.4645E-5,-5.25474E-5,-0.01
control,1.06155E-6,-1.61957E-6,-1.38617E-5,-4.92952E-5,-0.01
control,1.06925E-6,-1.56782E-6,-1.31716E-5,-4.63764E-5,-0.01
control,1.07415E-6,-1.52538E-6,-1.25619E-5,-4.36741E-5,-0.01
control,1.08573E-6,-1.47767E-6,-1.20106E-5,-4.11685E-5,-0.01
control,1.08819E-6,-1.43245E-6,-1.15137E-5,-3.88375E-5,-0.01
control,1.09553E-6,-1.39459E-6,-1.10522E-5,-3.66908E-5,-0.01
control,1.09971E-6,-1.3439E-6,-1.06307E-5,-3.47038E-5,-0.01
control,1.10119E-6,-1.28587E-6,-1.02368E-5,-3.28519E-5,-0.01
control,1.10217E-6,-1.26559E-6,-9.90558E-6,-3.11248E-5,-0.00985
control,1.10853E-6,-1.22527E-6,-9.60559E-6,-2.95231E-5,-0.0096
control,1.11281E-6,-1.18788E-6,-1.04424E-5,-2.80075E-5,-0.00934
control,1.12184E-6,-1.14974E-6,-8.91662E-6,-2.65707E-5,-0.0091
control,1.13103E-6,-1.11079E-6,-8.5993E-6,-2.52275E-5,-0.00886
control,1.13164E-6,-1.07588E-6,-8.28338E-6,-2.39487E-5,-0.00861
control,1.14404E-6,-1.0311E-6,-8.00052E-6,-2.27451E-5,-0.00836
control,1.15309E-6,-1.00066E-6,-7.74438E-6,-2.15858E-5,-0.00813
control,1.15494E-6,-9.51708E-7,-7.49045E-6,-2.0481E-5,-0.0079
control,1.16109E-6,-9.10375E-7,-7.25168E-6,-1.94154E-5,-0.00766
control,1.16936E-6,-8.79451E-7,-7.01427E-6,-1.8384E-5,-0.00741
control,1.17039E-6,-8.734E-7,-6.78917E-6,-1.73949E-5,-0.00718
control,1.1753E-6,-7.95107E-7,-6.57654E-6,-1.64218E-5,-0.00694
control,1.18101E-6,-7.51708E-7,-6.35438E-6,-1.54965E-5,-0.00671
control,1.1839E-6,-7.51708E-7,-6.15275E-6,-1.46148E-5,-0.00647
control,1.19584E-6,-7.14662E-7,-5.95381E-6,-1.37597E-5,-0.00625
control,1.19787E-6,-6.79497E-7,-5.74576E-6,-1.29533E-5,-0.00601
control,1.20499E-6,-6.47535E-7,-5.55205E-6,-1.21815E-5,-0.00579
control,1.21081E-6,-6.12446E-7,-5.36451E-6,-1.14542E-5,-0.00557
control,1.21337E-6,-5.79237E-7,-5.16887E-6,-1.0764E-5,-0.00536
control,1.22199E-6,-5.45181E-7,-5.02617E-6,-1.01907E-5,-0.00514
control,1.22945E-6,-5.1375E-7,-4.80653E-6,-1.04981E-5,-0.00494
control,1.22955E-6,-4.78244E-7,-4.62181E-6,-9.00516E-6,-0.00473
control,1.23104E-6,-4.42079E-7,-4.43887E-6,-8.42946E-6,-0.00453
control,1.2421E-6,-4.05809E-7,-4.25487E-6,-7.89897E-6,-0.00433
control,1.24392E-6,-3.69493E-7,-4.09329E-6,-7.40255E-6,-0.00413
control,1.24891E-6,-3.46406E-7,-3.91924E-6,-6.92152E-6,-0.00394
control,1.25838E-6,-3.34414E-7,-3.74876E-6,-6.47035E-6,-0.00374
control,1.2597E-6,-3.0201E-7,-3.57697E-6,-6.04843E-6,-0.00356
control,1.26884E-6,-2.67544E-7,-3.41617E-6,-5.64353E-6,-0.00338
control,1.27175E-6,-2.22972E-7,-3.25007E-6,-5.24669E-6,-0.00318
control,1.28148E-6,-1.68842E-7,-3.09978E-6,-4.87441E-6,-0.003
control,1.28945E-6,-1.48681E-7,-2.94144E-6,-4.50703E-6,-0.00281
control,1.29075E-6,-1.18788E-7,-2.79604E-6,-4.16522E-6,-0.00262
control,1.2947E-6,-6.72118E-8,-2.65433E-6,-3.82555E-6,-0.00245
control,1.30426E-6,-6.69017E-8,-2.50819E-6,-3.508E-6,-0.00227
control,1.3043E-6,-1.53526E-8,-2.37594E-6,-3.20809E-6,-0.00209
control,1.31E-6,-1.49262E-8,-2.24678E-6,-3.02314E-6,-0.00193
control,1.31548E-6,2.76307E-8,-2.15093E-6,-2.65462E-6,-0.00177
control,1.31885E-6,6.64748E-8,-2.03566E-6,-2.38067E-6,-0.00161
control,1.32324E-6,7.91657E-8,-1.90915E-6,-2.12448E-6,-0.00147
control,1.32749E-6,8.65614E-8,-1.79634E-6,-1.88181E-6,-0.00136
control,1.34331E-6,9.52842E-8,-1.68647E-6,-1.66754E-6,-0.00122
control,1.3436E-6,1.0671E-7,-1.57446E-6,-1.45837E-6,-0.0011
control,1.35228E-6,1.57597E-7,-1.47433E-6,-1.26981E-6,-0.001
control,1.3557E-6,1.80011E-7,-1.37541E-6,-1.08986E-6,-9.06901E-4
control,1.35983E-6,1.98355E-7,-1.27146E-6,-1.15391E-6,-8.20958E-4
control,1.36131E-6,2.07878E-7,-1.17968E-6,-5.14496E-7,-7.29789E-4
control,1.37301E-6,2.46147E-7,-1.08857E-6,-8.86095E-7,-6.26579E-4
control,1.37935E-6,2.63015E-7,-1.00443E-6,-1.44542E-6,-5.35847E-4
control,1.38076E-6,2.77126E-7,-2.56906E-7,-2.99857E-7,-4.54744E-4
control,1.38723E-6,3.00359E-7,-2.09471E-6,-3.88604E-7,-3.76784E-4
control,1.38907E-6,3.20657E-7,-2.40386E-7,-1.13364E-7,-3.24229E-4
control,1.39762E-6,3.39205E-7,-6.11444E-7,-2.09084E-8,-2.90776E-4
control,1.40529E-6,3.64195E-7,-7.36876E-7,-6.16742E-7,-2.66099E-4
control,1.40871E-6,3.82998E-7,-3.75437E-7,-2.4434E-7,-2.36892E-4
control,1.41025E-6,4.01294E-7,-1.65833E-7,2.6089E-7,-2.0693E-4
control,1.4232E-6,4.23872E-7,-1.16628E-7,4.70016E-7,-1.98946E-4
control,1.42367E-6,4.47882E-7,-1.6248E-6,6.62101E-7,-1.8296E-4
control,1.4333E-6,4.6348E-7,-1.86475E-7,8.32611E-7,-1.65303E-4
control,1.43569E-6,4.90666E-7,-2.22686E-8,9.29526E-7,-1.42025E-4
control,1.43744E-6,5.08198E-7,-2.16116E-9,9.67828E-7,-1.21034E-4
control,1.44713E-6,5.27733E-7,1.19743E-6,1.39564E-6,-1.02647E-4
control,1.44714E-6,5.33629E-7,-1.97471E-8,5.64482E-7,-8.43102E-5
control,1.44888E-6,5.36661E-7,1.02319E-7,9.56933E-7,-6.37614E-5
control,1.46011E-6,5.59393E-7,5.62846E-8,1.02226E-6,-3.78367E-5
control,1.46883E-6,6.10287E-7,1.96833E-7,1.04936E-6,-7.68061E-6
control,1.47049E-6,6.33939E-7,3.47004E-7,6.03934E-7,2.77612E-5
control,1.47523E-6,6.55455E-7,1.52356E-7,1.67492E-7,8.38219E-5
control,1.47736E-6,6.80911E-7,3.91927E-7,1.86921E-6,1.56604E-4
control,1.48478E-6,6.99545E-7,4.70604E-7,4.2621E-7,2.70575E-4
control,1.48985E-6,7.20679E-7,6.26035E-7,7.1377E-7,3.79469E-4
control,1.49829E-6,7.50603E-7,7.24053E-7,1.06295E-6,4.29265E-4
control,1.49918E-6,7.8178E-7,8.15324E-7,1.17207E-6,4.47603E-4
control,1.50242E-6,7.90439E-7,8.5751E-7,1.27551E-6,4.92457E-4
control,1.50619E-6,8.46431E-7,9.46443E-7,1.34714E-6,5.36584E-4
control,1.51302E-6,8.6272E-7,9.74945E-7,1.45833E-6,4.88122E-4
control,1.52031E-6,9.01214E-7,1.00223E-6,1.55592E-6,3.65854E-4
control,1.52079E-6,9.27755E-7,1.98547E-6,1.66893E-6,3.2778E-4
control,1.53117E-6,9.53851E-7,1.43343E-7,1.78267E-6,2.93126E-4
control,1.53502E-6,9.62853E-7,1.07396E-6,1.89985E-6,2.79287E-4
control,1.54191E-6,9.77393E-7,3.39759E-7,2.02152E-6,2.76989E-4
control,1.54822E-6,9.88938E-7,7.73178E-7,2.16129E-6,2.87675E-4
control,1.55149E-6,9.99323E-7,1.9818E-7,2.31127E-6,3.24384E-4
control,1.55967E-6,1.01126E-6,2.44759E-6,2.46235E-6,4.02389E-4
control,1.56013E-6,1.02172E-6,1.15951E-6,2.63815E-6,5.10804E-4
control,1.56288E-6,1.03171E-6,1.26688E-6,2.81579E-6,6.35707E-4
control,1.57191E-6,1.04567E-6,1.3817E-6,3.02036E-6,7.46312E-4
control,1.57951E-6,1.09147E-6,1.48842E-6,3.25863E-6,8.32167E-4
control,1.58236E-6,1.09853E-6,1.62214E-6,3.50101E-6,9.23145E-4
control,1.58276E-6,1.11805E-6,1.75544E-6,3.80044E-6,0.00103
control,1.59149E-6,1.13393E-6,1.90755E-6,4.13269E-6,0.00113
control,1.59218E-6,1.15616E-6,2.06596E-6,4.52424E-6,0.00124
control,1.5981E-6,1.17426E-6,2.24429E-6,4.71966E-6,0.00135
control,1.60147E-6,1.19093E-6,2.44385E-6,5.42265E-6,0.00146
control,1.61086E-6,1.21571E-6,2.67159E-6,6.0851E-6,0.00156
control,1.61743E-6,1.23583E-6,2.9365E-6,7.18263E-6,0.00166
control,1.61854E-6,1.25621E-6,3.26768E-6,8.63176E-6,0.00176
control,1.62256E-6,1.27942E-6,3.67596E-6,1.12974E-5,0.00181
control,1.63289E-6,1.29325E-6,4.17962E-6,1.51332E-5,0.00192
control,1.63376E-6,1.31647E-6,4.63831E-6,2.17312E-5,0.00203
control,1.64024E-6,1.35749E-6,5.38565E-6,3.18051E-5,0.00212
control,1.64733E-6,1.37069E-6,6.13024E-6,4.62585E-5,0.00221
